archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature,air@surface,NAm-cana153,pages2k_NAm_1396,213.0,67.2,-115.9,Coppermine River,https://www.ncdc.noaa.gov/paleo/study/3592,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCSP,N/A,CE
documents,temperature,air@surface,Asia-Middlereache.Zhang.1980,pages2k_Asia_325,1900.0,30.5,114.5,Middle reaches of the Yangtze River,https://doi.org/10.6084/m9.figshare.c.3285353.v2,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,historic,N/A,index,CE
coral,temperature,sea@surface,Ocean2kHR-IndianWAGrowthBundegiCooper2012,pages2k_LPDaa786707,-6.0,-21.8333,114.1833,"Bundegi reef, Ningaloo",http://data.aims.gov.au/metadataviewer/uuid/4f39c641-8450-4ea0-b2b6-4f3d582645f8,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,calcification rate,Porites sp.,percent,CE
tree,temperature,air@surface,Asia-ASTABP,pages2k_Asia_184,3300.0,35.33,74.8,PAKI017,https://www.ncdc.noaa.gov/paleo/study/15312,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-mt115,pages2k_NAm_2788,2680.0,45.9,-114.3,Baker Lake,https://www.ncdc.noaa.gov/paleo/study/3563,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,LALY,N/A,CE
tree,temperature,air@surface,NAm-mt115,pages2k_NAm_2800,2680.0,45.9,-114.3,Baker Lake,https://www.ncdc.noaa.gov/paleo/study/3563,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,LALY,N/A,CE
tree,temperature,air@surface,NAm-co553,pages2k_NAm_2476,3600.0,39.3,-105.0,Pike Peaks,https://www.ncdc.noaa.gov/paleo/study/2842,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCEN,N/A,CE
tree,temperature,air@surface,NAm-co553,pages2k_NAm_2488,3600.0,39.3,-105.0,Pike Peaks,https://www.ncdc.noaa.gov/paleo/study/2842,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PCEN,N/A,CE
marine sediment,temperature,sea@surface,O2kLR-PigmyBasin.Richey.2009,pages2k_LPD572f7cc3,-2259.0,27.2,-91.42,"Pigmy Basin, Gulf of Mexico box core PBBC-1",http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:410856366157434::::P1_STUDY_ID:5584,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally temp_C; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally Annual,foram Mg/Ca,N/A,degC,CE
tree,temperature,air@surface,Eur-ECarpathians.Popa.2009,pages2k_Eur_016,1820.0,47.0,25.3,Eastern Carpathian Mountains (Romania),http://www.ncdc.noaa.gov/paleo/study/1003409,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
marine sediment,temperature,sea@surface,O2kLR-CariacoBasin.Black.2007,pages2k_LPDe51d17e8,-450.0,10.77,-64.77,Cariaco Basin,http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:1527603787540765::::P1_STUDY_ID:6397,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally MAM,foram Mg/Ca,N/A,degC,CE
coral,temperature,sea@surface,Ocean2kHR-IndianMafiaDamassa2006,pages2k_Ocean2kHR_007,-6.0,-8.0167,39.5,Mafia,https://www.ncdc.noaa.gov/paleo/study/10808,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),"; climateInterpretation_seasonality changed - was originally monthly, bimonthly",d18O,N/A,permil,CE
tree,temperature,air@surface,NAm-cana446,pages2k_NAm_2236,2000.0,53.0,-118.2,Pyramid Mountain,https://www.ncdc.noaa.gov/paleo/study/16605,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,PCEN,N/A,CE
tree,temperature,air@surface,NAm-cana002,pages2k_NAm_916,46.0,58.4,-68.4,Fort Chimo (Merged),https://www.ncdc.noaa.gov/paleo/study/3263,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,LALA,N/A,CE
