archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
lake sediment,temperature,air@surface,NAm-GreenLake,pages2k_NAm_3865,640.0,50.2,-122.9,Green Lake,http://www.nrcresearchpress.com/doi/abs/10.1139/e06-056#.V22kqiMrJQJ,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally MAMJJASO,varve thickness,N/A,N/A,CE
tree,temperature,air@surface,NAm-cana231,pages2k_NAm_1636,1830.0,50.6,-118.6,Park Mountain,https://www.ncdc.noaa.gov/paleo/study/5524,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCEN,N/A,CE
tree,temperature,air@surface,NAm-cana231,pages2k_NAm_1648,1830.0,50.6,-118.6,Park Mountain,https://www.ncdc.noaa.gov/paleo/study/5524,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PCEN,N/A,CE
tree,temperature,air@surface,Asia-MOR1JU,pages2k_Asia_202,1500.0,36.58,75.08,PAKI009,https://www.ncdc.noaa.gov/paleo/study/12782,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-SOV,pages2k_NAm_052,3500.0,36.5,-118.3,Siberian Outpost View,https://doi.org/10.6084/m9.figshare.c.3285353.v2,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,PIBA,N/A,CE
coral,temperature,sea@surface,Ocean2kHR-PacificLinsley2006Rarotongad18O99,pages2k_Ocean2kHR_152,-18.0,-21.2378,-159.8278,Rarotonga,"http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:964510793893801::::P1_STUDY_ID:6089,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/rarotonga2006.txt",PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally monthly,d18O,lutea,permil,CE
coral,temperature,sea@surface,Ocean2kHR-PacificGuamAsami2005,pages2k_Ocean2kHR_166,-7.8,13.5982,144.8359,Double Reef,https://www.ncdc.noaa.gov/paleo/study/1915,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally monthly,d18O,Porites lobata,permil,CE
tree,temperature,air@surface,Asia-GANGCD,pages2k_Asia_102,100.0,30.98,78.93,GANGCD,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-cana439,pages2k_NAm_2176,2200.0,52.2,-117.2,Hilda,https://www.ncdc.noaa.gov/paleo/study/16597,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,PCEN,N/A,CE
documents,temperature,air@surface,Asia-CentralChina.Wang.1998,pages2k_Asia_320,3000.0,29.0,113.0,Central China,https://doi.org/10.6084/m9.figshare.c.3285353.v2,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally annual,historic,N/A,index,CE
